Year,Movie,Genre,Role,BoxOffice_Status
1996,Akkada Ammayi Ikkada Abbayi,Romance,Lead,Average
1997,Gokulamlo Seeta,Drama,Lead,Hit
1998,Suswagatham,Romance,Lead,Hit
1998,Tholi Prema,Romance,Lead,Blockbuster
1999,Thammudu,Sports Drama,Lead,Hit
2000,Badri,Action,Lead,Hit
2001,Khushi,Drama,Lead,Blockbuster
2003,Johnny,Action,Lead,Average
2004,Gudumba Shankar,Comedy,Lead,Average
2006,Bangaram,Action,Lead,Average
2008,Jalsa,Action Comedy,Lead,Hit
2011,Teen Maar,Romance,Lead,Average
2012,Gabbar Singh,Action,Lead,Blockbuster
2013,Attarintiki Daredi,Family Drama,Lead,Blockbuster
2015,Gopala Gopala,Drama,Lead,Hit
2016,Sardaar Gabbar Singh,Action,Lead,Average
2017,Katamarayudu,Action,Lead,Hit
2018,Agnyaathavaasi,Drama,Lead,Average
2021,Vakeel Saab,Drama,Lead,Hit
2022,Bheemla Nayak,Action,Lead,Blockbuster
2023,BRO,Fantasy,Lead,Hit
2025,Hari Hara Veera Mallu,Historical Action,Lead,Upcoming
